"","timeId","mcYear","weekly_water_amount_0","weekly_water_amount_42000","weekly_water_amount_84000","weekly_water_amount_126000","weekly_water_amount_168000"
"1",1,1,0,2027275,4011901,5578960,6123994
"2",1,2,0,2027275,4011901,5578960,6123994
"3",1,3,0,2027275,4011901,5578960,6123994
"4",1,4,0,2027275,4011901,5578960,6123994
"5",1,5,0,2027275,4011901,5578960,6123994
"6",2,1,0,2099388,4096953,4749888,5294922
"7",2,2,0,2112739,4096953,4749888,5294922
"8",2,3,0,2104821,4096953,4749888,5294922
"9",2,4,0,2113270,4096953,4749888,5294922
"10",2,5,0,2113270,4096953,4749888,5294922
"11",3,1,0,2026315,4010941,5919303,6464337
"12",3,2,0,2026315,4010941,5919303,6464337
"13",3,3,0,2026315,4010941,5919303,6464337
"14",3,4,0,2026315,4010941,5919303,6464337
"15",3,5,0,2026315,4010941,5919303,6464337
"16",4,1,0,1989147,3981691,5062767,5607801
"17",4,2,0,1992249,3981691,5062767,5607801
"18",4,3,0,1996465,3981691,5062767,5607801
"19",4,4,0,1992849,3981691,5062767,5607801
"20",4,5,0,1992849,3981691,5062767,5607801
"21",5,1,0,1989196,3973822,5958448,7192961
"22",5,2,0,1989196,3973822,5958448,7192961
"23",5,3,0,1989196,3973822,5958448,7192961
"24",5,4,0,1989196,3973822,5958448,7192961
"25",5,5,0,1989196,3973822,5958448,7192961
"26",6,1,0,2008542,3993168,5977794,7035083
"27",6,2,0,2008542,3993168,5977794,7035083
"28",6,3,0,2008542,3993168,5977794,7035083
"29",6,4,0,2008542,3993168,5977794,7035083
"30",6,5,0,2008542,3993168,5977794,7035083
"31",7,1,0,2078660,4063286,6047912,6906315
"32",7,2,0,2078660,4063286,6047912,6906315
"33",7,3,0,2078660,4063286,6047912,6906315
"34",7,4,0,2078660,4063286,6047912,6906315
"35",7,5,0,2078660,4063286,6047912,6906315
"36",8,1,0,1993771,3978397,5963023,7561324
"37",8,2,0,1993771,3978397,5963023,7561324
"38",8,3,0,1993771,3978397,5963023,7561324
"39",8,4,0,1993771,3978397,5963023,7561324
"40",8,5,0,1993771,3978397,5963023,7561324
"41",9,1,0,1991499,3982363,5122583,5667617
"42",9,2,0,1995783,3978798,5122583,5667617
"43",9,3,0,1993384,3982363,5122583,5667617
"44",9,4,0,1989751,3982363,5122583,5667617
"45",9,5,0,1989751,3982363,5122583,5667617
"46",10,1,0,1989133,3986236,5049369,5594403
"47",10,2,0,1989596,3976827,5049369,5594403
"48",10,3,0,1991002,3986236,5049369,5594403
"49",10,4,0,1985809,3986236,5049369,5594403
"50",10,5,0,1985809,3986236,5049369,5594403
"51",11,1,0,2007129,3595627,4140661,4685695
"52",11,2,0,2015629,3595627,4140661,4685695
"53",11,3,0,2023547,3595627,4140661,4685695
"54",11,4,0,2008808,3595627,4140661,4685695
"55",11,5,0,2008808,3595627,4140661,4685695
"56",12,1,0,2015269,3461556,4006590,4551624
"57",12,2,0,1998045,3461556,4006590,4551624
"58",12,3,0,2003427,3461556,4006590,4551624
"59",12,4,0,2004267,3461556,4006590,4551624
"60",12,5,0,2004267,3461556,4006590,4551624
"61",13,1,0,1984626,3983562,5728047,6273081
"62",13,2,0,1984626,3983562,5728047,6273081
"63",13,3,0,1984626,3983562,5728047,6273081
"64",13,4,0,1984626,3983562,5728047,6273081
"65",13,5,0,1984626,3983562,5728047,6273081
"66",14,1,0,1998360,3982986,5915979,6461013
"67",14,2,0,1998360,3982986,5915979,6461013
"68",14,3,0,1998360,3982986,5915979,6461013
"69",14,4,0,1998360,3982986,5915979,6461013
"70",14,5,0,1998360,3982986,5915979,6461013
"71",15,1,0,2001832,3992693,5635491,6180525
"72",15,2,0,2003621,3993584,5635491,6180525
"73",15,3,0,2000742,3992693,5635491,6180525
"74",15,4,0,2001869,3992693,5635491,6180525
"75",15,5,0,2001869,3992693,5635491,6180525
"76",16,1,0,2001168,3988464,5220701,5765735
"77",16,2,0,2000620,3981205,5220701,5765735
"78",16,3,0,2002467,3988464,5220701,5765735
"79",16,4,0,2001168,3988464,5220701,5765735
"80",16,5,0,2001168,3988464,5220701,5765735
"81",17,1,0,2001188,3869039,4414073,4959107
"82",17,2,0,2001911,3869039,4414073,4959107
"83",17,3,0,2010254,3869039,4414073,4959107
"84",17,4,0,2005839,3869039,4414073,4959107
"85",17,5,0,2005839,3869039,4414073,4959107
"86",18,1,0,2002278,3346759,3891793,4436827
"87",18,2,0,2032177,3346759,3891793,4436827
"88",18,3,0,2031077,3346759,3891793,4436827
"89",18,4,0,2015605,3346759,3891793,4436827
"90",18,5,0,2015605,3346759,3891793,4436827
"91",19,1,0,1991563,3161624,3706658,4251692
"92",19,2,0,2014090,3161624,3706658,4251692
"93",19,3,0,2014230,3161624,3706658,4251692
"94",19,4,0,1992393,3161624,3706658,4251692
"95",19,5,0,1992393,3161624,3706658,4251692
"96",20,1,0,2004123,2964290,3509324,4054358
"97",20,2,0,2007965,2964290,3509324,4054358
"98",20,3,0,2013367,2964290,3509324,4054358
"99",20,4,0,2017165,2964290,3509324,4054358
"100",20,5,0,2017165,2964290,3509324,4054358
"101",21,1,0,2020013,2781057,3326091,3871125
"102",21,2,0,2032781,2781057,3326091,3871125
"103",21,3,0,2033747,2781057,3326091,3871125
"104",21,4,0,2032140,2781057,3326091,3871125
"105",21,5,0,2032140,2781057,3326091,3871125
"106",22,1,0,1985805,2530839,3075873,3620907
"107",22,2,0,1985805,2530839,3075873,3620907
"108",22,3,0,1985805,2530839,3075873,3620907
"109",22,4,0,1985805,2530839,3075873,3620907
"110",22,5,0,1985805,2530839,3075873,3620907
"111",23,1,0,1860365,2405399,2950433,3495467
"112",23,2,0,1860365,2405399,2950433,3495467
"113",23,3,0,1860365,2405399,2950433,3495467
"114",23,4,0,1860365,2405399,2950433,3495467
"115",23,5,0,1860365,2405399,2950433,3495467
"116",24,1,0,1669914,2214948,2759982,3305016
"117",24,2,0,1669914,2214948,2759982,3305016
"118",24,3,0,1669914,2214948,2759982,3305016
"119",24,4,0,1669914,2214948,2759982,3305016
"120",24,5,0,1669914,2214948,2759982,3305016
"121",25,1,0,1458794,2003828,2548862,3093896
"122",25,2,0,1458794,2003828,2548862,3093896
"123",25,3,0,1458794,2003828,2548862,3093896
"124",25,4,0,1458794,2003828,2548862,3093896
"125",25,5,0,1458794,2003828,2548862,3093896
"126",26,1,0,1331311,1876345,2421379,2966413
"127",26,2,0,1331311,1876345,2421379,2966413
"128",26,3,0,1331311,1876345,2421379,2966413
"129",26,4,0,1331311,1876345,2421379,2966413
"130",26,5,0,1331311,1876345,2421379,2966413
"131",27,1,0,1302870,1847904,2392938,2937972
"132",27,2,0,1302870,1847904,2392938,2937972
"133",27,3,0,1302870,1847904,2392938,2937972
"134",27,4,0,1302870,1847904,2392938,2937972
"135",27,5,0,1302870,1847904,2392938,2937972
"136",28,1,0,956648,1501682,2046716,2591750
"137",28,2,0,956648,1501682,2046716,2591750
"138",28,3,0,956648,1501682,2046716,2591750
"139",28,4,0,956648,1501682,2046716,2591750
"140",28,5,0,956648,1501682,2046716,2591750
"141",29,1,0,1285831,1830865,2375899,2920933
"142",29,2,0,1285831,1830865,2375899,2920933
"143",29,3,0,1285831,1830865,2375899,2920933
"144",29,4,0,1285831,1830865,2375899,2920933
"145",29,5,0,1285831,1830865,2375899,2920933
"146",30,1,0,1295014,1840048,2385082,2930116
"147",30,2,0,1295014,1840048,2385082,2930116
"148",30,3,0,1295014,1840048,2385082,2930116
"149",30,4,0,1295014,1840048,2385082,2930116
"150",30,5,0,1295014,1840048,2385082,2930116
"151",31,1,0,838471,1383505,1928539,2473573
"152",31,2,0,838471,1383505,1928539,2473573
"153",31,3,0,838471,1383505,1928539,2473573
"154",31,4,0,838471,1383505,1928539,2473573
"155",31,5,0,838471,1383505,1928539,2473573
"156",32,1,0,1085354,1630388,2175422,2720456
"157",32,2,0,1085354,1630388,2175422,2720456
"158",32,3,0,1085354,1630388,2175422,2720456
"159",32,4,0,1085354,1630388,2175422,2720456
"160",32,5,0,1085354,1630388,2175422,2720456
"161",33,1,0,1226404,1771438,2316472,2861506
"162",33,2,0,1226404,1771438,2316472,2861506
"163",33,3,0,1226404,1771438,2316472,2861506
"164",33,4,0,1226404,1771438,2316472,2861506
"165",33,5,0,1226404,1771438,2316472,2861506
"166",34,1,0,2027189,4011815,5996441,7631362
"167",34,2,0,2027189,4011815,5996441,7631362
"168",34,3,0,2027189,4011815,5996441,7631362
"169",34,4,0,2027189,4011815,5996441,7631362
"170",34,5,0,2027189,4011815,5996441,7631362
"171",35,1,0,2014240,3762304,4307338,4852372
"172",35,2,0,2015608,3762304,4307338,4852372
"173",35,3,0,2015608,3762304,4307338,4852372
"174",35,4,0,2013281,3762304,4307338,4852372
"175",35,5,0,2013281,3762304,4307338,4852372
"176",36,1,0,1031277,1576311,2121345,2666379
"177",36,2,0,1031277,1576311,2121345,2666379
"178",36,3,0,1031277,1576311,2121345,2666379
"179",36,4,0,1031277,1576311,2121345,2666379
"180",36,5,0,1031277,1576311,2121345,2666379
"181",37,1,0,1206783,1751817,2296851,2841885
"182",37,2,0,1206783,1751817,2296851,2841885
"183",37,3,0,1206783,1751817,2296851,2841885
"184",37,4,0,1206783,1751817,2296851,2841885
"185",37,5,0,1206783,1751817,2296851,2841885
"186",38,1,0,1275754,1820788,2365822,2910856
"187",38,2,0,1275754,1820788,2365822,2910856
"188",38,3,0,1275754,1820788,2365822,2910856
"189",38,4,0,1275754,1820788,2365822,2910856
"190",38,5,0,1275754,1820788,2365822,2910856
"191",39,1,0,1428014,1973048,2518082,3063116
"192",39,2,0,1428014,1973048,2518082,3063116
"193",39,3,0,1428014,1973048,2518082,3063116
"194",39,4,0,1428014,1973048,2518082,3063116
"195",39,5,0,1428014,1973048,2518082,3063116
"196",40,1,0,1656955,2201989,2747023,3292057
"197",40,2,0,1656955,2201989,2747023,3292057
"198",40,3,0,1656955,2201989,2747023,3292057
"199",40,4,0,1656955,2201989,2747023,3292057
"200",40,5,0,1656955,2201989,2747023,3292057
"201",41,1,0,1790106,2335140,2880174,3425208
"202",41,2,0,1790106,2335140,2880174,3425208
"203",41,3,0,1790106,2335140,2880174,3425208
"204",41,4,0,1790106,2335140,2880174,3425208
"205",41,5,0,1790106,2335140,2880174,3425208
"206",42,1,0,1923149,2468183,3013217,3558251
"207",42,2,0,1923149,2468183,3013217,3558251
"208",42,3,0,1923149,2468183,3013217,3558251
"209",42,4,0,1923149,2468183,3013217,3558251
"210",42,5,0,1923149,2468183,3013217,3558251
"211",43,1,0,2035101,2605115,3150149,3695183
"212",43,2,0,2034144,2605115,3150149,3695183
"213",43,3,0,2035101,2605115,3150149,3695183
"214",43,4,0,2035101,2605115,3150149,3695183
"215",43,5,0,2035101,2605115,3150149,3695183
"216",44,1,0,1879022,2424056,2969090,3514124
"217",44,2,0,1879022,2424056,2969090,3514124
"218",44,3,0,1879022,2424056,2969090,3514124
"219",44,4,0,1879022,2424056,2969090,3514124
"220",44,5,0,1879022,2424056,2969090,3514124
"221",45,1,0,1090245,1635279,2180313,2725347
"222",45,2,0,1090245,1635279,2180313,2725347
"223",45,3,0,1090245,1635279,2180313,2725347
"224",45,4,0,1090245,1635279,2180313,2725347
"225",45,5,0,1090245,1635279,2180313,2725347
"226",46,1,0,1766374,2311408,2856442,3401476
"227",46,2,0,1766374,2311408,2856442,3401476
"228",46,3,0,1766374,2311408,2856442,3401476
"229",46,4,0,1766374,2311408,2856442,3401476
"230",46,5,0,1766374,2311408,2856442,3401476
"231",47,1,0,1980787,2525821,3070855,3615889
"232",47,2,0,1980787,2525821,3070855,3615889
"233",47,3,0,1980787,2525821,3070855,3615889
"234",47,4,0,1980787,2525821,3070855,3615889
"235",47,5,0,1980787,2525821,3070855,3615889
"236",48,1,0,1986460,3746852,4291886,4836920
"237",48,2,0,1986649,3746852,4291886,4836920
"238",48,3,0,1986460,3746852,4291886,4836920
"239",48,4,0,1986460,3746852,4291886,4836920
"240",48,5,0,1986460,3746852,4291886,4836920
"241",49,1,0,1990470,4004008,4613327,5158361
"242",49,2,0,1997600,4004008,4613327,5158361
"243",49,3,0,1985089,4004008,4613327,5158361
"244",49,4,0,1988379,4004008,4613327,5158361
"245",49,5,0,1988379,4004008,4613327,5158361
"246",50,1,0,2003478,3127673,3672707,4217741
"247",50,2,0,2003066,3127673,3672707,4217741
"248",50,3,0,2004969,3127673,3672707,4217741
"249",50,4,0,2015526,3127673,3672707,4217741
"250",50,5,0,2015526,3127673,3672707,4217741
"251",51,1,0,1987197,3986785,4734904,5279938
"252",51,2,0,1987111,3986785,4734904,5279938
"253",51,3,0,1987197,3988790,4734904,5279938
"254",51,4,0,1988003,3988790,4734904,5279938
"255",51,5,0,1988003,3988790,4734904,5279938
"256",52,1,0,2045706,2616429,3161463,3706497
"257",52,2,0,2039605,2616429,3161463,3706497
"258",52,3,0,2035509,2616429,3161463,3706497
"259",52,4,0,2034069,2616429,3161463,3706497
"260",52,5,0,2034069,2616429,3161463,3706497
